"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:07.6","4:07.6","1.00","4:08","146","163","6","3","180","1.35","62","33.0","3:51","189","4:07.6","4:08"
"2","2:35.8","6:43.3","0.62","4:13","165","167","2","1","181","1.31","46","31.0","4:04","183","2:35","4:12"
"3","8:51.7","15:35","0.19","45:55","160","169","10","13","26","0.84","153","32.0","4:57","179","4:35","23:47"
"4","13:25","29:00","0.28","48:02","162","169","15","15","20","1.02","233","33.0","17:42","131","7:50","28:03"
"5","3:18.7","32:19","0.09","38:14","161","169","2","2","23","1.15","56","33.0","4:38","182","0:46","8:51"
"6","6:15.9","38:35","1.00","6:16","163","170","6","3","152","1.05","109","32.0","4:25","244","6:15.9","6:16"
"7","3:51.9","42:27","0.70","5:33","162","167","4","5","156","1.15","66","31.0","4:26","183","3:51.9","5:33"
"8","0:02.0","42:29","0.00","0","167","167","0","0","0","--","0","32.0","22:37","0","0","--"
"9","0:03.7","42:33","0.00","0","165","166","0","0","0","--","1","32.0","0","0","0","--"
"Summary","42:33","42:33","3.87","10:59","160","170","45","43","79","1.06","726","32.3","3:51","244","30:01","7:45"
